회사 이름,분야,회사 소개,로봇 분류,로봇 이름,로봇 설명,부스위치,사이트,열2
HD 현대로보틱스,-,-,서빙로봇,HYUNDAI S1,"HYUNDAI S1은 서빙, 퇴식, 안내, 순회 모드를 지원하는 서비스로봇입니다. 사용자 편의를 위한 멀티 인터랙션, 인체공학적인 디자인 설계가 돋보입니다. 또한, 높이 조절 가능한 3단 트레이, 매장 용도에 따른 다양한 트레이 옵션 등을 지원합니다.",-,-,
HD 현대로보틱스,-,-,서빙로봇,HYUNDAI T5,"HYUNDAI T5는 반찬 개수가 많은 대형 식당에 적합한 서빙로봇입니다. 현대 서비스로봇 中 가장 넓은 트레이 사이즈(55cm)를 보유하고있습니다. 특히, 사각형 쟁반을 많이 사용하는 한국 식당에 적합한 형태의 트레이가 4층으로 설치되어 있습니다.",-,-,
HD 현대로보틱스,-,-,서빙로봇,HYUNDAI T6,HYUNDAI T6는 T5의 장점을 모아 만든 경량화 모델입니다. 넓은 사각형으로 구성된 4층 트레이와 멀티 순회 모드 서빙 시스템으로 한 번에 여러 테이블에 음식을 전달할 수 있습니다.,-,-,
HD 현대로보틱스,-,-,서빙로봇,HYUNDAI T8,"HYUNDAI T8은 32kg으로 라인업 중 가장 가벼운 무게와 가장 작은 사이즈를 갖추고 있어, 55cm 정도되는 테이블 간격에서도 서빙이 가능합니다. ",-,-,
HD 현대로보틱스,-,-,스마트팩토리,-,-,-,-,
뉴로메카,"협동로봇, 협동형 산업용로봇, 자율이동로봇, 델타로봇, 스마트 액츄에이터, 로봇제어기, 티치팬던트,비전솔루션, 로봇SW(인디프레임워크), 로봇 플랫폼 서비스(인디고)","뉴로메카의 협동로봇은 사람과 함께 작업할 수 있도록 안전하게 동작하며, 
프로그래밍을 통해 다양한 산업과 작업에 적용 가능합니다.
로봇 전문인력이 없어도 쉽고 안전하게 로봇 자동화를 도입하고 운용하실 수 있도록 
협동로봇 중심의 RaaS (Robot as a Service) 플랫폼 비즈니스 생태계를 구축하고 이를 통해 안정적인 협동로봇을 제공합니다.",-,-,-,B02,https://www.neuromeka.com/,
뉴로메카,-,-,협동로봇,인디(Indy),"뉴로메카의 대표모델 ‘Indy(인디)’는 뉴로메카가 직접 디자인하고 제조한 협동로봇입니다. 혁신적인 충돌 감지 알고리즘을 기반으로 작업자의 안전을 보장합니다. 임피던스 제어를 통한 더 직관적인 직접교시(Direct Teaching)를 지원하며, 안드로이드 태블릿 기반의 티치펜던트 앱을 통해 온라인 및 오프라인 프로그래밍이 가능합니다.?",-,-,
뉴로메카,-,-,협동형 산업로봇,아이콘(ICoN),"ICoN은 뉴로메카 협동로봇 ‘Indy(인디)’의 안전 기능과 사용 편의 기능이 적용된 차세대 협동형 산업용 로봇입니다. 진화된 충돌 감지 알고리즘, 상태 표시등과 레이저 스캐너 등의 주변 안전 장치를 추가하여 기존의 산업용 로봇에는 없었던 안전성을 대폭 향상시켰습니다. 임피던스 제어를 통한 직접 교시, 태블릿 기반의 티치펜던트 앱 ‘CONTY(콘티)’ 그리고 힘센서 기반 리드 스루(lead-through) 장치 추가를 통해 쉽고 빠르게 프로그래밍이 가능합니다.",-,-,
뉴로메카,-,-,모바일로봇,모비(Moby),"뉴로메카의 ‘Moby(모비)’는 협동로봇 ‘Indy(인디)’에 자율이동성을 제공하기 위한 자율이동로봇(AMR) 플랫폼 입니다. 협동로봇 ‘Indy(인디)’가 ‘Moby(모비)’에 탑재되어 작업영역이 확대되고 , 
센서 플레이트의 변경을 통해 다양한 센서들을 탑재할 수 있습니다. 뿐만 아니라 작업 목적에 따라 워크팔렛을 교체할 수 있어 배송, 순찰, 방역, 안내 등 다양한 용도의 활용이 가능합니다. 특히, 2자유도 스티어링 바퀴 모듈 4개가 구동력의 편차를 최소화 하기 때문에 직진 제어성과 전방향 구동 방향 제어성이 탁월하며, LiDAR(라이다)와 3D센서를 이용해 장애물을 회피하며 목표 위치로 정확하게 이동할 수 있습니다.",-,-,
뉴로메카,-,-,델타로봇,디(D)                                                               ,"뉴로메카의 ‘D(디)’는 진동억제 설계에 기반한 세계 최고 수준의 고속 고정밀 4축 델타로봇입니다. 하중 및 작업반경에 따라 현재 2종의 표준 모델인 D3(디3) (하중 3kg) 및 D6(디6) (하중 6kg)을 양산하고 있습니다. 뉴로메카의 델타로봇은 고객의 라인 자동화 요구에 맞춰 컨베이어 벨트 및 그리퍼, 비전센서 등의 다양한 장치가 PLC등과  통합된 토탈자동화솔루션을 제공합니다.",-,-,
뉴로메카,-,-,스마트 액츄에이터,코어(CORE),"뉴로메카의 스마트 액츄에이터 ‘CORE(코어)’는 프레임리스 모터, 하모닉 드라이브 감속기, 마그네틱 브레이크, 멀티턴 절대치 엔코더, EtherCAT(이더캣) 슬레이브 보드, 모터 드라이버 등이 중공축 구조로 결합된 관절 구동 모듈입니다. 중공축을 통해 액츄에이터의 전원선 및 EtherCAT 통신선 등이 통과되므로 군더더기 없는 로봇 디자인이 가능합니다. ",-,-,
뉴로메카,-,-,로봇제어기,스텝(STEP),STEP(스텝)은 실시간 제어를 위해 Hard Realtime OS인 Linux/Xenomai 환경에서 실시간 제어 응용프로그램 개발을 위한 소프트웨어 프레임워크인 NRMKPlatform SDK를 제공합니다. 리눅스 환경에 익숙하지 않은 엔지니어들도 쉽게 임베디드 제어 프로그램을 개발할 수 있도록 MS 윈도우® OS에서 작동되는 개발환경을 제공합니다. ,-,-,
뉴로메카,-,-,티치펜던트,콘티(CONTY),"‘CONTY(콘티)’는 뉴로메카의 모든 협동로봇을  프로그래밍하기 위해 독자적으로 개발된 티치펜던트 앱으로, 표준 안드로이드 운영체제가 설치된 태블릿에서 구동됩니다. 로봇제어기인 ‘STEP(스텝)’과  유, 무선으로 연동하여 뉴로메카 협동로봇 ‘Indy(인디)’의 온라인, 오프라인 프로그래밍 및 직접교시를 지원합니다. 직관적으로 설계된 풍부한 기능을 기반으로 누구나 쉽게 뉴로메카의 협동로봇을 프로그래밍할 수 있습니다.",-,-,
뉴로메카,-,-,비전 솔루션,인디아이(IndyEye),"불규칙한 형상의 물체도 정확하게 인식할 수 있는 딥러닝 기반의 고성능 비전 솔루션 'IndyEye(인디아이)'는 저가의 비전센서와 딥러닝 서버 공유를 통해 합리적 가격의 솔루션을 제공합니다.'IndyEye(인디아이)'는 까다로운 작업 조건이 필요했던 기존 비전센서와 달리, 공간과 조광의 제약 없이 어떤 작업 환경에서도 유연하게 적용 가능하며, 딥러닝 서버 공유를 통해 작업 물체(시편) 데이터를 저장하여 고객 요청에 따른 다양한 제품 대응이 가능합니다. 다품종 변량 제조라인이 필요한 중소기업 제조 현장에서 다양한 작업과 빠른 적용을 가능하게 합니다.",-,-,
뉴로메카,-,-,로봇 SW,"인디프레임워크
(IndyFramework)","IndyFramework 2.0(인디 프레임워크 2.0)'은 효율적인 협동로봇 어플리케이션 개발을 위해 만들어진 소프트웨어 프레임워크입니다. 뉴로메카 로봇제어기 STEP에서 동작하며 최대 8KHz로(STEP3의 경우) 슬레이브 로봇 제어가 가능합니다. 다관절 로봇의 기구학적 특이점 및 모델 불확실성에 대응이 가능한 범용 강인 제어 알고리즘 라이브러리와 혁신적인 충돌 감지 알고리즘을 통해 다양한 로봇 작업을 안전하고 안정적으로 구현할 수 있습니다. 또한, 자동화 시스템 구축 편의를 위한 다양한 시스템 기능 및 원격 유지보수 기능을 포함하며, 추후 다양한 기능 확장이 가능하도록 소프트웨어 구조가 설계되었습니다.",-,-,
뉴로메카,-,-,로봇 플랫폼 서비스 ,인디고(IndyGo),"협동로봇의 도입, 운용, 유지보수, 인력을 제공하는 뉴로메카의 통합 솔루션 서비스입니다. 철저한 생산 공정의 분석을 통해 맞춤형, 통합형으로 생산라인에 가장 효율적인 로봇 배치와 운영안을 제공합니다.",-,-,
에스비비테크,"감속기, 베어링","1993년 회사 설립 후 국산화를 모토로 볼펜용 볼, 세라믹 베어링, 초박형 베어링의 국산화를 성공하였으며, 현재 정밀 로봇 감속기의 국내 최초 개발을 성공하여 양산화를 진행하여, 국내 산업의 발전에 주역으로 성장하고 있습니다.
또한 원천기술보유로 전세계 4차산업혁명의 메카인 공장 자동화용 MR 액츄에이터, 협업용 다관절 로봇 등으로 사업 분야를 확대해가고 있습니다.
수입에만 의존해오던 특수 베어링, 초정밀 감속기 등의 국산화 개발로 수입 제품의 고단가, 납기, A/S 문제를 해결하였으며, 국가 기반산업인 제조업의 경쟁력 강화에 이바지하였습니다.",-,,,B03,http://www.sbb.co.kr/,
에스비비테크,-,-,로봇감속기,-,-,-,-,
에스비비테크,-,-,정밀베어링,-,-,-,-,
에스비비테크,-,-,매니퓰레이터,MR-05,"1. 자동화비용 절감
선택적 조립형식의 모듈형 로봇으로 자동화 비용 절감
오픈 소스 방식의 상위 제어기 선택으로 자유로운 제어 가능
2. 유지비용 절감
모듈단위 구동부여서 고장발생시 모듈단위 교체가 가능.
기본적인 교육후 자체 수리가 가능함.
3. 개발비용 절감
SI업체는 완제품 로봇 구매가 아닌 모듈조합으로 로봇을 구성할 수 있음.
환경에 맞는 맞춤형 로봇 제작이 가능",-,-,
에스비비테크,-,-,액츄에이터,RA,로봇의 관절에 필요한 기능(감속기 + 모터 + 브레이크 + 엔코더 + 드라이브)을 하나의 모듈로 제작한 일체형 구동 장치,-,-,
에스비비테크,-,-,반도체 로봇,-,-,-,-,
트위니,"자율주행 로봇(AMR),
자율주행 S/W, AGV, 대상추종, 플랫폼","넓은 곳에서도 복잡한 곳에서도 환경이 변해도 실내외에서도 자율주행로봇은, 트위니",-,,,B04,https://twinny.ai/,
트위니,-,-,자율주행 로봇(AMR),나르고 시리즈,나르고 시리즈는 넓고 복잡한 환경에서 인프라 없이 주행이 가능합니다. 변화가 잦은 환경에서 유연한 주행이 가능합니다. 현장 맞춤 적재함 커스터마이징이 가능합니다. 관제 시스템을 통한 손쉬운 조작이 가능합니다. 경사로 주행이 가능합니다. 엘리베이터 연동이 가능합니다. (일부 모델),-,-,
트위니,-,-,물류이송 로봇(AGV),PSV 시리즈,공장 자동화용 물류이송 로봇은 현장 맞춤 커스터마이징이 가능합니다. 관제 시스템을 통한 손쉬운 조작이 가능합니다. 정밀한 위치 제어가 가능합니다. 센서 활용 기술을 통해 측위 및 장애물 대응이 가능합니다.,-,-,
트위니,-,-,대상추종 로봇,따르고 시리즈,"따르고 시리즈는 추종을 위한 별도 장치가 필요하지 않습니다. 대상의 사이즈, 색상, 운동, 위치정보를 통해 추종합니다. 간편한 조작법으로 누구나 쉽게 사용할 수 있습니다. 현장 맞춤 적재함 커스터마이징이 가능합니다.",-,-,
아이지,스마트팩토리,"아이지에이(주)는 IT + 산업 융합 기술의 시너지를 통해 미래 성장의 핵심 동력을 제공합니다.
아이지에이는 메카트로닉스, STEM, 전기/전자, 기계/로봇, 정보통신, 신재생에너지 분야의 하드웨어와 소프트웨어를 다년간 국내외 시장에 꾸준히 개발 및 공급해 왔습니다. 
기술 개발과 경험을 바탕으로 핵심 사업 분야에서 컨설팅 및 시스템 구축 서비스를 제공하고 있습니다: 스마트팩토리 사업, 로봇 프로세스 사업, NCS 기반 제조 및 서비스, 해외 ODA, 하이테크 교육센터 사업 등을 진행하고 있습니다.",-,-,-,B05,https://www.ieg.kr/en/,
에브리봇,가정용 로봇,"2016년 1월, 세계 최초로 듀얼 스핀 RS500을 선보인 이래 에브리봇은 누구도 따라올 수 없도록 진화하였습니다. 
우리는 로봇청소기 뿐만 아니라 모든 홈서비스 로봇과 사람의 인터렉션을 흥미롭게 탐구합니다.",-,,,B06,https://everybot.co.kr/,
에브리봇,-,-,로봇청소기,에브리봇 로봇물걸레청소기,"세계 최초. 가장 많이 판매된. 돋보적 기술력. 에브리봇 로봇물걸레청소기를 수식하는 다양한 말들이 있습니다. 손으로 눌러 닦는 듯한 강력함, 파워풀 클리닝으로 바닥을 가볍게 훑고 지나가는 것이 아니라 제품의 무게 100%를 이용하여 마치 손으로 눌러 닦는 긋한 강한 압력으로 청소합니다.",-,-,
에브리봇,-,-,로봇청소기,에브리봇 로봇청소기,초정밀 라이다 센서는 집안 곳곳을 정확하게 스캔하여 파워풀한 모터가 흡입하는 동시에 물걸레 청소로 마무리합니다.,-,-,
한국기계연구원,로봇 연구,"인류의 미래를 더욱 풍요롭게 하기 위한 지능로봇기술을 개발하고 있습니다.
인간과 로봇이 공존하는 미래를 위한 차세대 로봇의 지능, 설계, 인간로봇협업, 핵심부품 및 응용기술을 개발하고 있습니다.",-,,,B07,https://www.kimm.re.kr/,
한국기계연구원,-,-,로봇메카트로닉스연구실,-,"인간과 로봇이 공존하는 미래를 위하여 다양한 차세대 로봇 시스템 기술과 인간-로봇의 협력 기술을 개발하고 있습니다. 이를 위해 모듈형·초경량·고출력 로봇 구동기, 인간형핸드·조립용그리퍼 등 말단장치, 감각구현용 센서 및 인공피부 등 로봇용 핵심부품 기술을 개발하고 있으며 이를 바탕으로 협동로봇, 저동력로봇, 양팔로봇, 웨어러블 로봇, 로보틱 휠체어 등 다양한 로봇 시스템 기술과 인간-로봇의 협력 기술을 개발하고 있습니다.",-,-,
한국기계연구원,-,-,인공지능기계연구실,-,"자기부상/선형추진 응용기술 개발 등 자기부상 고도화기술 개발을 지속하고 있습니다.
인공지능 기술을 기반으로 비정형 환경의 작업, 주행, 협업이 가능한 기계시스템 기술을 개발하고 있습니다.",-,-,
에스피지,로봇 교육,"SPG Korea는 창의적인 아이디어와 신속하 업무처리 능력을 보유한 기업으로 공학 분야 기술 훈련 교육장비의 연구, 개발, 생산, 제조 및 다양한 영역을 담당하고 있으며 
31년 바탕이 된 노하우와 기술 교육의 모든 솔루션을 제공하는 전문 교육장비 특화 기업입니다.",-,-,-,B08,http://www.spgkorea.co.kr/,
인아텍,"AMR, 협동로봇, 그리퍼, 서비스로봇","(주)SPG Korea는 창의적인 아이디어와 신속하 업무처리 능력을 보유한 기업으로 공학 분야 기술 훈련 교육장비의 연구, 개발, 생산, 제조 및 다양한 영역을 담당하고 있으며 31년 바탕이 된 노하우와 기술 교육의 모든 솔루션을 제공하는 전문 교육장비 특화 기업입니다.
(주)SPG Korea는 원천기술 경험을 바탕으로 전기 / 전자, 방재설비, 산업 설비, 정보 통신, 신재생에너지, NI 응용장비, 전기자동차, 자동화, 공압 / 유압 등 다양한 기술 교육 솔루션을 제공하여 글로벌 인재 육성 및 4차 산업의 발전에 기여하기 위해 노력하고 있습니다.",-,-,-,B10,https://inatech.co.kr/,
인아텍,-,,자율주행 로봇(AMR),-,-,-,-,
인아텍,-,,무인 팔레트트럭,-,-,-,-,
인아텍,-,,협동로봇,UR시리즈,위탁판매,-,-,
힐스로보틱스,"자율주행 로봇(AMR), 방역 로봇","㈜힐스로보틱스는 기술을 통해 건강한 삶을 실현하기 위해 노력하는 기술회사 입니다. 
지능형 로봇을 도입하려는 물류센터, 유통매장, 공항, 호텔, 병원 등의 고객들을 대상으로 누구나 사용할 수 있는 차세대 ‘AI’ + ‘Robotics’ 기술을 제공하며, 
유통물류로봇, 임베디드 S/W ROS1, 원격 다중제어 서비스(RMS/SCS/DIS)를 함께 제공하여 단순 로봇 제작이 아닌 운영/사후관리를 총망라하는 통합 시스템 공급자의 역할을 수행합니다.",-,-,-,B11,http://hillslogis.com/,
힐스로보틱스,-,-,자율주행 로봇(AMR),Lo-robot,"Vision 인식과 Lidar를 활용하여 설비를 단순화하여 다품종 소량의 물류센터의 작업에 최적화 된 로봇
사람의 신체 부위 중 발의 기능을 담당
자율주행, Picker추종, 셔틀 기능의 통합
RMS, SCS등을 통해 유지 관리 용이",-,-,
힐스로보틱스,-,-,방역 로봇,Coro-bot,"방역을 위한 다양한 기능의 설계 및 탑재로 살균, 소독, 감염방지 등의 효과를 높인 로봇
인간이 하는 방역을 무인 로봇으로 방역
선형 방역을 3차원 공간 방역으로 확대
무인 자율 주행, 장애물 인지 회피 기동",-,-,
힐스로보틱스,-,-,방역 로봇,Hey-bot,"방역을 위한 다양한 기능의 설계 및 탑재로 살균, 소독, 감염방지 등의 효과를 높인 로봇
인간이 하는 방역을 무인 로봇으로 방역
선형 방역을 3차원 공간 방역으로 확대
무인 자율 주행, 장애물 인지 회피 기동",-,-,
힐스로보틱스,-,-,방역 로봇,Hi-bot,"방역을 위한 다양한 기능의 설계 및 탑재로 살균, 소독, 감염방지 등의 효과를 높인 로봇
CCD 카메라 / 체온측정, 안면인식 / 전면 안내 화면 / 손소독제 분사구 / 비평탄면 주행구조
후면 안내 화면 / 공기청정기(살큔, 탈취형)
아로마 디퓨져 / UV 살균, Lamp 내장",-,-,
티로보틱스,"진공로봇, 자율주행 로봇(AMR), 엔터테인먼트 로봇","2004년 설립 이후 줄곧, 끊임없는 로봇기술 개발 투자와 양산 노하우 축적을 통해, 
글로벌 파트너들에게 진공로봇과 시스템을 공급하는 국내유일의 진공로봇기업입니다.",-,-,-,B12,http://www.t-robotics.net/,
티로보틱스,-,-,진공로봇,HYBRID TYPE,"6세대 OLED 생산 시 엄격한 고운, 최소분진(Particle) 발생 환경요건을 충족합니다. 엄격하고 높은 신뢰성을 요구하는 진공 제조환경을 지원합니다. 리니어형의 장점인 반복정밀도, 고하중, 고온 적합과 링크형의 장점인 최소 파티클 발생을 결합하였습니다.",-,-,
티로보틱스,-,-,진공로봇,SCISSORS TYPE,"10 세대 이상 OLED / LCD 생산 시 고온, 투자비를 절감할 수 있습니다. 시소 구조로 FAB 설계시 낮은 층고를 유지할 수 있어 클린룸 요구조건 충족합니다(클린룸 시설비와 유지비 절감). 고하중, 고온에 강한 암, 바디 구조를 가지고 있습니다.",-,-,
티로보틱스,-,-,진공로봇,LINK TYPE,6세대 OLED 공정용 로봇으로 원천적인 오염 차단 설꼐 구조를 가지고 있습니다. 분진 발생을 최소화하여 청정한 생산 환경을 제공합니다. 최소 환경반경으로 로봇설치 장비의 크기 축소가 가능합니다.,-,-,
티로보틱스,-,-,진공로봇,LINEAR TYPE,8세대 이상의 중대형 OLED / LCD 생산 공정용 로봇으로 세계 최고 수준의 내구성과 성능을 제공합니다. 고하중 글래스를 안정적으로 이송합니다. 핸드의 처짐 및 떨림 기능을 최소화하여 반복정밀동이 향상되었습니다.,-,-,
티로보틱스,-,-,재활로봇,HEALBOT-T,"뇌졸증환자의 초기 보행운동 능력회복을 위한 Treadmill 타입의 보행보조로봇입니다.실제적인 보행운동 구현을 위한 14축 자유도가 지원되는 외골격로봇입니다. 직관적인 작동 화면 UI를 제공합니다.
",-,-,
티로보틱스,-,-,재활로봇,HEALBOT-G,"편마비 환자의 보행 형태 개선을 지원하기 위한 Overground 타입의 외골격 보행 보조 로봇입니다. 단계별 근력 보조 조절이 가능한 4축 외골격로봇입니다. 간편하게 조절 착용이 가능합니다.
",-,-,
